location,city,country,utc,parameter,value,unit,latitude,longitude
Place de l'Opéra,Paris,FR,30/12/2019,pm10,58,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,29/12/2019,pm10,60,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,28/12/2019,pm10,62,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,27/12/2019,pm10,54,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,26/12/2019,pm10,42,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,25/12/2019,pm10,22,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,24/12/2019,pm10,28,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,23/12/2019,pm10,53,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,22/12/2019,pm10,38,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,21/12/2019,pm10,40,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,20/12/2019,pm10,25,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,19/12/2019,pm10,31,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,18/12/2019,pm10,59,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,17/12/2019,pm10,48,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,16/12/2019,pm10,23,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,15/12/2019,pm10,25,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,14/12/2019,pm10,33,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,13/12/2019,pm10,28,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,12/12/2019,pm10,27,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,11/12/2019,pm10,27,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,10/12/2019,pm10,52,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,09/12/2019,pm10,29,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,08/12/2019,pm10,28,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,07/12/2019,pm10,33,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,06/12/2019,pm10,31,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,05/12/2019,pm10,48,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,04/12/2019,pm10,48,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,03/12/2019,pm10,60,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,02/12/2019,pm10,42,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,01/12/2019,pm10,32,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,30/11/2019,pm10,44,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,29/11/2019,pm10,20,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,28/11/2019,pm10,27,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,27/11/2019,pm10,18,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,26/11/2019,pm10,22,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,25/11/2019,pm10,31,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,24/11/2019,pm10,20,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,23/11/2019,pm10,19,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,22/11/2019,pm10,36,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,21/11/2019,pm10,50,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,20/11/2019,pm10,42,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,19/11/2019,pm10,33,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,18/11/2019,pm10,29,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,17/11/2019,pm10,22,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,16/11/2019,pm10,24,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,15/11/2019,pm10,22,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,14/11/2019,pm10,25,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,13/11/2019,pm10,40,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,12/11/2019,pm10,25,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,11/11/2019,pm10,13,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,10/11/2019,pm10,15,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,09/11/2019,pm10,25,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,08/11/2019,pm10,25,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,07/11/2019,pm10,35,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,06/11/2019,pm10,33,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,05/11/2019,pm10,20,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,04/11/2019,pm10,34,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,03/11/2019,pm10,16,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,01/11/2019,pm10,32,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,01/11/2019,pm10,31,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,31/10/2019,pm10,47,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,29/10/2019,pm10,45,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,28/10/2019,pm10,30,µg/m^3,488.702.846.148.731,233.250.258.467.486
Place de l'Opéra,Paris,FR,27/10/2019,pm10,25,µg/m^3,488.702.846.148.731,233.250.258.467.486
